# Program:featureCounts v2.0.8; Command:"featureCounts" "-p" "-B" "-C" "-F" "GFF" "-t" "CDS" "-g" "locus_tag" "-a" "/home/vinay_bioinformatic/project/refrence/GCF_000005845.2_ASM584v2_genomic.gff" "-o" "SRR22578533_gene_counts.txt" "SRR22578533.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR22578533.sorted.bam
b4766	NC_000913.3	290275	290370	-	96	3
b4688	NC_000913.3	290510	290638	+	129	92
b0274	NC_000913.3	290649	291152	-	504	21
b0275	NC_000913.3	291071	291346	-	276	6
b0276	NC_000913.3	291500	292231	+	732	454
b0277	NC_000913.3	292322	292948	-	627	308
b0278	NC_000913.3	293220	293918	-	699	74
b0279	NC_000913.3	293945	294799	-	855	73
b4729	NC_000913.3	294918	295142	-	225	19
b0280	NC_000913.3	295139	295579	-	441	254
b0281	NC_000913.3	295696	297096	-	1401	714
b0282	NC_000913.3	297381	297791	-	411	216
b0283	NC_000913.3	297770	298726	-	957	286
b0284	NC_000913.3	298736	300934	-	2199	374
b0285	NC_000913.3	300931	301887	-	957	180
b0286	NC_000913.3	301884	302573	-	690	124
b0287	NC_000913.3	302991	303605	+	615	159
b0288	NC_000913.3	303853	304182	-	330	127
b0289	NC_000913.3	304495	305205	-	711	178
b0290	NC_000913.3	305174	306817	-	1644	421
b0291	NC_000913.3	306807	309332	-	2526	311
b0292	NC_000913.3	309358	310026	-	669	33
b0293	NC_000913.3	310084	310671	-	588	158
b0294	NC_000913.3	310746	311336	-	591	27
b0295	NC_000913.3	312112	312339	+	228	36
b4506	NC_000913.3	312374	312514	-	141	3
b0296	NC_000913.3	312514	312777	-	264	17
b4671	NC_000913.3	313141	313242	-	102	20
b0298	NC_000913.3	315291	315590	+	300	8
b0299	NC_000913.3	315587	316453	+	867	36
b0301	NC_000913.3	317726	318319	-	594	89
b0303	NC_000913.3	318331	318567	-	237	23
b0304	NC_000913.3	318676	320001	-	1326	351
b0305	NC_000913.3	320227	321081	+	855	107
b0306	NC_000913.3	321608	322327	+	720	126
b0307	NC_000913.3	322338	323765	+	1428	281
b0308	NC_000913.3	323758	324453	+	696	197
b0310	NC_000913.3	324696	325364	-	669	67
b0311	NC_000913.3	325577	327247	-	1671	550
b0312	NC_000913.3	327261	328733	-	1473	1098
b0313	NC_000913.3	328747	329334	-	588	629
b0314	NC_000913.3	329463	331496	+	2034	1222
b4730	NC_000913.3	331802	331876	+	75	16
b0315	NC_000913.3	332371	333459	+	1089	913
b0316	NC_000913.3	333501	334433	-	933	523
b0317	NC_000913.3	334525	335022	-	498	53
b0318	NC_000913.3	335280	335885	+	606	49
b0319	NC_000913.3	335925	336788	+	864	37
b0320	NC_000913.3	336778	338325	+	1548	118
b0321	NC_000913.3	338325	339743	+	1419	195
b0322	NC_000913.3	339769	340089	+	321	58
b0323	NC_000913.3	340165	341115	+	951	64
b0324	NC_000913.3	341125	342507	+	1383	316
b0325	NC_000913.3	342884	343933	+	1050	1269
b0326	NC_000913.3	344176	344991	+	816	55
b4845	NC_000913.3	345252	345434	+	183	2
b0327	NC_000913.3	345404	345649	+	246	20
b0328	NC_000913.3	345666	346337	-	672	281
b0329	NC_000913.3	346484	346759	+	276	4937
b0330	NC_000913.3	346857	348443	-	1587	476
b0331	NC_000913.3	348682	349572	+	891	217
b0333	NC_000913.3	350012	351181	+	1170	104
b0334	NC_000913.3	351215	352666	+	1452	89
b0335	NC_000913.3	352706	354592	+	1887	169
b0336	NC_000913.3	354922	356181	+	1260	859
b0337	NC_000913.3	356171	357454	+	1284	1124
b0338	NC_000913.3	357791	358690	-	900	175
b0339	NC_000913.3	358799	359458	+	660	75
b0340	NC_000913.3	359489	359959	+	471	41
b0341	NC_000913.3	359992	361146	+	1155	133
b0342	NC_000913.3	361249	361860	-	612	50
b0343	NC_000913.3	361926	363179	-	1254	137
b0344	NC_000913.3	363231	366305	-	3075	267
b0345	NC_000913.3	366428	367510	-	1083	1113
b0346	NC_000913.3	367587	368420	-	834	1019
b0347	NC_000913.3	368611	370275	+	1665	76
b0348	NC_000913.3	370277	371221	+	945	46
b0349	NC_000913.3	371239	372105	+	867	53
b0350	NC_000913.3	372115	372924	+	810	62
b0351	NC_000913.3	372921	373871	+	951	54
b0352	NC_000913.3	373868	374881	+	1014	78
b0353	NC_000913.3	375459	376670	+	1212	166
b0354	NC_000913.3	376772	377311	+	540	486
b0355	NC_000913.3	377535	378368	-	834	775
b0356	NC_000913.3	378462	379571	-	1110	1904
b0357	NC_000913.3	379606	379881	-	276	320
b0358	NC_000913.3	380069	380842	-	774	130
b4579	NC_000913.3;NC_000913.3	380844;382591	381260;382872	-;-	699	12
b0360	NC_000913.3	381351	381716	+	366	2
b0361	NC_000913.3	381674	382579	+	906	18
b0363	NC_000913.3	382739	383935	-	1197	93
b4731	NC_000913.3	383960	384079	+	120	0
b0364	NC_000913.3	384059	384616	-	558	20
b0365	NC_000913.3	385232	386194	+	963	50
b0366	NC_000913.3	386207	386974	+	768	56
b0367	NC_000913.3	386971	387798	+	828	60
b0368	NC_000913.3	387795	388646	+	852	274
b0369	NC_000913.3	388753	389727	-	975	4461
b4580	NC_000913.3;NC_000913.3	390251;392970	391708;394418	+;+	2907	607
b4767	NC_000913.3	391592	391648	-	57	0
b0372	NC_000913.3	391739	392605	-	867	10
b0373	NC_000913.3	392602	392901	-	300	22
b0375	NC_000913.3	394506	395129	+	624	41
b0376	NC_000913.3	395130	396287	-	1158	1227
b0377	NC_000913.3	396639	397859	+	1221	700
b0378	NC_000913.3	397872	398966	+	1095	1303
b0379	NC_000913.3	399025	399333	-	309	1116
b0380	NC_000913.3	399593	399805	+	213	255
b0381	NC_000913.3	399829	400923	-	1095	2162
b0382	NC_000913.3	401386	401646	+	261	1268
b0383	NC_000913.3	401747	403162	+	1416	1393
b0384	NC_000913.3	403281	403601	+	321	1066
b0385	NC_000913.3	403703	404818	+	1116	283
b0386	NC_000913.3	404835	405644	-	810	1246
b0387	NC_000913.3	405764	406222	+	459	764
b0388	NC_000913.3	406405	406929	+	525	1154
b0389	NC_000913.3	406979	407170	+	192	927
b0390	NC_000913.3	407428	408105	+	678	1176
b0391	NC_000913.3	408177	408461	+	285	1495
b4732	NC_000913.3	408947	409030	+	84	106
b0393	NC_000913.3	409108	410019	-	912	1082
b0394	NC_000913.3	410144	411052	+	909	630
b0396	NC_000913.3	411297	412481	-	1185	466
b0397	NC_000913.3	412607	415753	-	3147	754
b0398	NC_000913.3	415750	416952	-	1203	483
b0399	NC_000913.3	417142	417831	+	690	574
b0400	NC_000913.3	417889	419184	+	1296	544
b0401	NC_000913.3	419591	420910	+	1320	2132
b0402	NC_000913.3	420986	422359	+	1374	1877
b0403	NC_000913.3	422518	424332	+	1815	690
b0404	NC_000913.3	424337	424918	-	582	305
b0405	NC_000913.3	425011	426081	+	1071	1452
b0406	NC_000913.3	426137	427264	+	1128	4038
b0407	NC_000913.3	427287	427619	+	333	2651
b0408	NC_000913.3	427647	429494	+	1848	6842
b0409	NC_000913.3	429505	430476	+	972	4287
b0410	NC_000913.3	430605	430952	+	348	642
b0411	NC_000913.3	431129	432013	-	885	4233
b0412	NC_000913.3	432312	432851	-	540	604
b0413	NC_000913.3	433002	433451	+	450	1063
b0414	NC_000913.3	433455	434558	+	1104	2447
b0415	NC_000913.3	434647	435117	+	471	2007
b0416	NC_000913.3	435137	435556	+	420	2020
b0417	NC_000913.3	435634	436611	+	978	717
b0418	NC_000913.3	436589	437107	+	519	1214
b0419	NC_000913.3	437161	438135	-	975	3058
b0420	NC_000913.3	438315	440177	-	1863	3296
b0421	NC_000913.3	440202	441101	-	900	2017
b0422	NC_000913.3	441101	441343	-	243	914
b0423	NC_000913.3	441549	442997	+	1449	2479
b0424	NC_000913.3	443051	443641	-	591	536
b0425	NC_000913.3	443604	444515	-	912	666
b0426	NC_000913.3	444683	445174	+	492	2298
b0427	NC_000913.3	445302	446666	-	1365	1056
b0428	NC_000913.3	446815	447705	-	891	13411
b0429	NC_000913.3	447717	448046	-	330	3216
b0430	NC_000913.3	448046	448660	-	615	5122
b0431	NC_000913.3	448650	450641	-	1992	22229
b0432	NC_000913.3	450663	451610	-	948	13303
b0433	NC_000913.3	452070	453545	-	1476	1650
b0434	NC_000913.3	453589	454167	-	579	1749
b0435	NC_000913.3	454472	454789	+	318	7485
b0436	NC_000913.3	455133	456431	+	1299	21425
b0437	NC_000913.3	456677	457300	+	624	6365
b0438	NC_000913.3	457426	458700	+	1275	13735
b0439	NC_000913.3	458888	461242	+	2355	8066
b0440	NC_000913.3	461451	461723	+	273	9594
b0441	NC_000913.3	461915	463786	+	1872	5990
b0442	NC_000913.3	463937	464308	+	372	239
b0443	NC_000913.3	464402	464800	+	399	536
b0444	NC_000913.3	464852	465547	-	696	514
b0445	NC_000913.3	465612	467312	-	1701	604
b0446	NC_000913.3	467412	468230	+	819	498
b0447	NC_000913.3	468383	468841	+	459	679
b0448	NC_000913.3	468871	470643	+	1773	1159
b0449	NC_000913.3	470636	472417	+	1782	1053
b0450	NC_000913.3	472598	472936	+	339	30
b0451	NC_000913.3	472966	474252	+	1287	318
b0452	NC_000913.3	474301	475161	-	861	1066
b0453	NC_000913.3	475379	475951	+	573	2648
b0454	NC_000913.3	475982	476371	-	390	363
b0456	NC_000913.3	476672	477025	+	354	111
b0457	NC_000913.3	477067	478617	-	1551	1838
b0458	NC_000913.3	478781	479251	-	471	1978
b0459	NC_000913.3	479367	479918	-	552	1418
b0460	NC_000913.3	480090	480308	-	219	1351
b0461	NC_000913.3	480334	480708	-	375	1699
b0462	NC_000913.3	481254	484403	-	3150	11464
b0463	NC_000913.3	484426	485619	-	1194	3732
b0464	NC_000913.3	485761	486408	+	648	816
b0465	NC_000913.3	486536	489898	+	3363	5099
b0466	NC_000913.3	490110	490271	-	162	158
b0467	NC_000913.3	490285	490812	-	528	349
b0468	NC_000913.3	490882	491259	+	378	402
b0469	NC_000913.3	491412	491963	+	552	2116
b0470	NC_000913.3;NC_000913.3;NC_000913.3	492092;492092;493375	494023;493375;493386	+;+;+	1932	4189
b0471	NC_000913.3	494076	494405	+	330	1195
b0472	NC_000913.3	494405	495010	+	606	1563
b0473	NC_000913.3	495120	496994	+	1875	4051
b0474	NC_000913.3	497175	497819	+	645	4280
b0475	NC_000913.3	498055	499017	+	963	1127
b0476	NC_000913.3	499014	499973	-	960	472
b0477	NC_000913.3	500125	501429	+	1305	1890
b0478	NC_000913.3	501562	503238	-	1677	2707
b0479	NC_000913.3	503476	504696	-	1221	406
b0480	NC_000913.3	504914	506566	+	1653	1531
b0481	NC_000913.3	506603	507082	-	480	275
b0482	NC_000913.3	507286	508080	-	795	440
b0483	NC_000913.3	508218	508559	+	342	440
b0484	NC_000913.3;NC_000913.3;NC_000913.3	508875;511168;511176	511379;511176;511379	-;-;-	2505	3570
b0485	NC_000913.3	511641	512573	+	933	341
b0486	NC_000913.3	512576	513868	+	1293	887
b0487	NC_000913.3	513993	514400	+	408	646
b0488	NC_000913.3	514401	514859	-	459	503
b0489	NC_000913.3	514856	515773	-	918	934
b0490	NC_000913.3	515919	516596	+	678	136
b0491	NC_000913.3	516583	517362	+	780	157
b0492	NC_000913.3	517425	518279	-	855	1561
b0493	NC_000913.3	518340	519149	-	810	546
b0494	NC_000913.3	519139	519765	-	627	552
b0495	NC_000913.3	519733	520419	+	687	543
b0496	NC_000913.3	520416	522830	+	2415	901
b0497	NC_000913.3	523261	527541	+	4281	581
b0498	NC_000913.3	527581	527949	+	369	27
b0502	NC_000913.3	529645	530016	-	372	140
b0503	NC_000913.3	530132	531226	-	1095	503
b0504	NC_000913.3	531295	532221	-	927	40
b0505	NC_000913.3	532451	532933	+	483	103
b0506	NC_000913.3	533011	533826	+	816	1907
b0507	NC_000913.3	533916	535697	+	1782	94
b0508	NC_000913.3	535710	536486	+	777	30
b0509	NC_000913.3	536586	537464	+	879	53
b0511	NC_000913.3	537633	539087	+	1455	40
b0512	NC_000913.3	539147	540508	+	1362	88
b0513	NC_000913.3	540565	541866	+	1302	139
b0514	NC_000913.3	541888	543033	+	1146	169
b0515	NC_000913.3	543261	544046	-	786	177
b0516	NC_000913.3	544057	545292	-	1236	108
b0517	NC_000913.3	545314	546363	-	1050	58
b0518	NC_000913.3	546680	548347	+	1668	67
b4572	NC_000913.3	548357	549616	+	1260	75
b0520	NC_000913.3	549627	550442	+	816	38
b0521	NC_000913.3	550439	551332	+	894	104
b0522	NC_000913.3	551527	552594	-	1068	794
b0523	NC_000913.3	552591	553100	-	510	399
b0524	NC_000913.3	553218	553940	-	723	396
b0525	NC_000913.3	553943	554437	-	495	1747
b0526	NC_000913.3	554611	555996	+	1386	1887
b0527	NC_000913.3	556032	556553	-	522	247
b0528	NC_000913.3	556661	556873	-	213	153
b0529	NC_000913.3	556875	557741	-	867	1822
b0530	NC_000913.3	558212	558754	+	543	45
b0531	NC_000913.3	558974	559666	+	693	54
b0532	NC_000913.3	559697	562300	+	2604	229
b0533	NC_000913.3	562336	563319	+	984	56
b0534	NC_000913.3	563330	563845	+	516	13
b0535	NC_000913.3	563848	564480	-	633	34
b0537	NC_000913.3	564815	565978	-	1164	1612
b0542	NC_000913.3;NC_000913.3	566684;568035	566776;568247	+;+	306	98
b0540	NC_000913.3	566842	567141	+	300	10
b0541	NC_000913.3	567138	568004	+	867	2
b0543	NC_000913.3	568315	568647	+	333	176
b4733	NC_000913.3	568695	568844	+	150	5
b0544	NC_000913.3	568902	570428	+	1527	51
b0545	NC_000913.3	570893	571444	+	552	105
b0546	NC_000913.3	571454	572251	+	798	345
b4588	NC_000913.3	572368	572469	+	102	1
b0547	NC_000913.3	572466	572921	+	456	16
b0548	NC_000913.3	572921	573091	+	171	0
b0549	NC_000913.3	573084	573374	+	291	11
b0550	NC_000913.3	573371	573733	+	363	25
b4509	NC_000913.3	573730	573870	+	141	1
b0551	NC_000913.3	573956	574339	+	384	31
b0553	NC_000913.3;NC_000913.3	574529;575786	574586;576825	-;-	1098	947
b0552	NC_000913.3	574737	575717	-	981	0
b0554	NC_000913.3	577398	577613	+	216	46
b0555	NC_000913.3	577613	578110	+	498	60
b0556	NC_000913.3	578107	578568	+	462	14
b4510	NC_000913.3	578327	578509	+	183	0
