# Program:featureCounts v2.0.8; Command:"featureCounts" "-p" "-B" "-C" "-F" "GFF" "-t" "CDS" "-g" "locus_tag" "-a" "/home/vinay_bioinformatic/project/refrence/GCF_000005845.2_ASM584v2_genomic.gff" "-o" "SRR22578514_gene_counts.txt" "SRR22578514.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR22578514.sorted.bam
b0034	NC_000913.3	34300	34695	+	396	97
b0035	NC_000913.3	34781	35371	-	591	40
b0036	NC_000913.3	35377	36162	-	786	15
b0037	NC_000913.3	36271	37824	-	1554	100
b0038	NC_000913.3	37898	39115	-	1218	113
b0039	NC_000913.3	39244	40386	-	1143	363
b0040	NC_000913.3	40417	41931	-	1515	16
b0041	NC_000913.3	42403	43173	+	771	16
b0042	NC_000913.3	43188	44129	+	942	15
b0043	NC_000913.3	44180	45466	+	1287	28
b0044	NC_000913.3	45463	45750	+	288	0
b0045	NC_000913.3	45807	47138	+	1332	16
b0046	NC_000913.3	47246	47776	+	531	105
b0047	NC_000913.3	47769	49631	+	1863	982
b0048	NC_000913.3	49823	50302	+	480	1161
b0049	NC_000913.3	50380	51222	-	843	1631
b0050	NC_000913.3	51229	51606	-	378	892
b0051	NC_000913.3	51609	52430	-	822	2494
b0052	NC_000913.3	52427	53416	-	990	1819
b0053	NC_000913.3	53416	54702	-	1287	10434
b0054	NC_000913.3	54755	57109	-	2355	13244
b0055	NC_000913.3	57364	58179	+	816	996
b0056	NC_000913.3	58474	59124	+	651	172
b0057	NC_000913.3	59121	59279	+	159	17
b0058	NC_000913.3	59687	60346	-	660	1037
b0059	NC_000913.3	60358	63264	-	2907	2665
b0060	NC_000913.3	63429	65780	-	2352	1976
b0061	NC_000913.3	65855	66550	-	696	105
b0062	NC_000913.3	66835	68337	-	1503	483
b0063	NC_000913.3	68348	70048	-	1701	253
b0064	NC_000913.3	70387	71265	+	879	1412
b0065	NC_000913.3	71351	72115	+	765	1272
b0066	NC_000913.3	72229	72927	-	699	362
b0067	NC_000913.3	72911	74521	-	1611	348
b0068	NC_000913.3	74497	75480	-	984	498
b0069	NC_000913.3	75644	77299	-	1656	580
b4662	NC_000913.3	77388	77519	+	132	158
b0070	NC_000913.3	77621	78799	+	1179	324
b0071	NC_000913.3	78848	79453	-	606	365
b0072	NC_000913.3	79464	80864	-	1401	530
b0073	NC_000913.3	80867	81958	-	1092	330
b0074	NC_000913.3	81958	83529	-	1572	317
b0075	NC_000913.3	83622	83708	-	87	3
b0076	NC_000913.3	84368	85312	+	945	101
b4726	NC_000913.3	85467	85511	-	45	0
b0077	NC_000913.3	85630	87354	+	1725	267
b0078	NC_000913.3	87357	87848	+	492	108
b0080	NC_000913.3	88028	89032	+	1005	4926
b0081	NC_000913.3	89634	90092	+	459	2114
b0082	NC_000913.3	90094	91035	+	942	3468
b0083	NC_000913.3	91032	91397	+	366	899
b0084	NC_000913.3	91413	93179	+	1767	2481
b0085	NC_000913.3	93166	94653	+	1488	4323
b0086	NC_000913.3	94650	96008	+	1359	3758
b0087	NC_000913.3	96002	97084	+	1083	3926
b0088	NC_000913.3	97087	98403	+	1317	4479
b0089	NC_000913.3	98403	99647	+	1245	2938
b0090	NC_000913.3	99644	100711	+	1068	3684
b0091	NC_000913.3	100765	102240	+	1476	5688
b0092	NC_000913.3	102233	103153	+	921	4043
b0093	NC_000913.3	103155	103985	+	831	3042
b0094	NC_000913.3	103982	105244	+	1263	5354
b0095	NC_000913.3	105305	106456	+	1152	15675
b0096	NC_000913.3	106557	107474	+	918	54730
b0097	NC_000913.3	107705	108217	+	513	2186
b0098	NC_000913.3	108279	110984	+	2706	13362
b0099	NC_000913.3	111044	111433	+	390	313
b0101	NC_000913.3	111649	111846	-	198	350
b0102	NC_000913.3	111856	112599	-	744	716
b0103	NC_000913.3	112599	113219	-	621	486
b4727	NC_000913.3	113244	113288	+	45	1
b0104	NC_000913.3	113444	114487	+	1044	567
b0106	NC_000913.3	114522	115724	-	1203	77
b0107	NC_000913.3	115714	117099	-	1386	186
b0108	NC_000913.3	117109	117549	-	441	16
b0109	NC_000913.3	117752	118645	-	894	1522
b0110	NC_000913.3	118733	119284	+	552	760
b0111	NC_000913.3	119281	120135	+	855	1169
b0112	NC_000913.3	120178	121551	-	1374	1446
b0113	NC_000913.3	122092	122856	+	765	1392
b0114	NC_000913.3	123017	125680	+	2664	27753
b0115	NC_000913.3	125695	127587	+	1893	27318
b0116	NC_000913.3	127912	129336	+	1425	16770
b0117	NC_000913.3	129407	131260	-	1854	269
b0118	NC_000913.3	131615	134212	+	2598	34907
b0119	NC_000913.3	134388	134750	+	363	2502
b0120	NC_000913.3	134788	135582	-	795	1024
b0121	NC_000913.3	135598	136464	-	867	1162
b0122	NC_000913.3	136570	136917	-	348	396
b0123	NC_000913.3	137083	138633	+	1551	1169
b0124	NC_000913.3	138835	141225	-	2391	3232
b0125	NC_000913.3	141431	141967	+	537	1198
b0126	NC_000913.3	142008	142670	-	663	1387
b0127	NC_000913.3	142779	143705	+	927	940
b0128	NC_000913.3	143702	144472	+	771	1089
b0129	NC_000913.3	144577	145017	+	441	633
b0130	NC_000913.3	145081	146310	+	1230	343
b0131	NC_000913.3	146314	146694	-	381	1908
b0132	NC_000913.3	146968	147870	+	903	188
b0133	NC_000913.3	147944	148795	-	852	2918
b0134	NC_000913.3	148807	149601	-	795	2039
b0135	NC_000913.3	149715	150953	-	1239	14
b0136	NC_000913.3	151003	151599	-	597	11
b0137	NC_000913.3	151626	152231	-	606	2
b0138	NC_000913.3	152243	152812	-	570	0
b0139	NC_000913.3	152829	155426	-	2598	6
b0140	NC_000913.3	155461	156201	-	741	6
b0141	NC_000913.3	156299	156883	-	585	2
b0142	NC_000913.3	157253	157732	-	480	59
b0143	NC_000913.3	157729	159126	-	1398	1562
b0144	NC_000913.3	159186	160112	-	927	304
b0145	NC_000913.3	160149	160604	-	456	8291
b0146	NC_000913.3	160782	161486	-	705	4808
b0147	NC_000913.3	161501	162031	-	531	213
b0148	NC_000913.3	162105	164534	+	2430	2053
b0149	NC_000913.3;NC_000913.3	164730;164865	167264;167264	+;+	2535	3779
b0150	NC_000913.3	167484	169727	+	2244	2423
b0151	NC_000913.3	169778	170575	+	798	598
b0152	NC_000913.3	170575	171465	+	891	317
b0153	NC_000913.3	171462	173444	+	1983	715
b0154	NC_000913.3	173602	174882	-	1281	4381
b4765	NC_000913.3	175048	175095	+	48	60
b0155	NC_000913.3	175107	176528	+	1422	1887
b4728	NC_000913.3	176552	176617	+	66	0
b0156	NC_000913.3	176610	176954	+	345	2381
b0157	NC_000913.3	177001	177624	-	624	211
b0158	NC_000913.3	177662	178462	-	801	381
b0159	NC_000913.3	178455	179153	-	699	2503
b0160	NC_000913.3	179237	180754	+	1518	575
b0161	NC_000913.3	180884	182308	+	1425	2069
b0162	NC_000913.3	182463	183620	+	1158	306
b0163	NC_000913.3	183709	184095	-	387	3539
b0164	NC_000913.3	184257	185069	-	813	125
b0166	NC_000913.3	185123	185947	-	825	5187
b0167	NC_000913.3	185978	188650	-	2673	1691
b0168	NC_000913.3	188712	189506	-	795	3107
b0169	NC_000913.3	189874	190599	+	726	19362
b0170	NC_000913.3	190857	191708	+	852	8300
b0171	NC_000913.3	191855	192580	+	726	2206
b0172	NC_000913.3	192872	193429	+	558	7118
b0173	NC_000913.3	193521	194717	+	1197	2439
b0174	NC_000913.3	194903	195664	+	762	3258
b0175	NC_000913.3	195677	196534	+	858	2259
b0176	NC_000913.3	196546	197898	+	1353	4650
b0177	NC_000913.3	197928	200360	+	2433	16504
b0178	NC_000913.3	200482	200967	+	486	8239
b0179	NC_000913.3	200971	201996	+	1026	7872
b0180	NC_000913.3	202101	202556	+	456	3118
b0181	NC_000913.3	202560	203348	+	789	4056
b0182	NC_000913.3	203348	204496	+	1149	1718
b0183	NC_000913.3	204493	205089	+	597	462
b0184	NC_000913.3	205126	208608	+	3483	4275
b0185	NC_000913.3	208621	209580	+	960	2721
b0186	NC_000913.3	209679	211820	+	2142	2930
b0187	NC_000913.3	211877	212266	+	390	587
b0188	NC_000913.3	212331	213629	+	1299	989
b0189	NC_000913.3	213678	213932	-	255	643
b4406	NC_000913.3	213925	214125	-	201	861
b0190	NC_000913.3	214291	214836	+	546	404
b0191	NC_000913.3	214833	215255	+	423	267
b0192	NC_000913.3	215269	215979	+	711	1597
b0193	NC_000913.3	216179	217003	-	825	155
b0194	NC_000913.3	217057	218775	-	1719	7871
b0195	NC_000913.3	218887	219594	-	708	294
b0196	NC_000913.3	219591	219995	-	405	337
b0197	NC_000913.3	220113	220928	-	816	2021
b0198	NC_000913.3	220968	221621	-	654	795
b0199	NC_000913.3	221614	222645	-	1032	1703
b0200	NC_000913.3	222833	223408	+	576	69
b0207	NC_000913.3	229167	229970	+	804	132
b0208	NC_000913.3	229967	230881	-	915	630
b0209	NC_000913.3	231122	231922	+	801	3215
b0210	NC_000913.3	231926	232549	+	624	383
b0211	NC_000913.3	232597	233955	-	1359	7292
b0212	NC_000913.3	234027	234782	-	756	383
b4815	NC_000913.3	234288	234320	+	33	0
b0213	NC_000913.3	234816	235538	+	723	494
b0214	NC_000913.3	235535	236002	-	468	609
b0215	NC_000913.3	236067	236798	+	732	1185
b0217	NC_000913.3	237335	238120	+	786	24
b4586	NC_000913.3	238257	238736	-	480	6
b0219	NC_000913.3	239419	240189	-	771	1326
b0220	NC_000913.3	240343	240816	+	474	3534
b0221	NC_000913.3	240859	243303	-	2445	6066
b0222	NC_000913.3	243543	244121	+	579	2163
b0223	NC_000913.3	244327	245094	+	768	674
b0224	NC_000913.3	245065	245805	-	741	2513
b0225	NC_000913.3	245961	246239	-	279	315
b0226	NC_000913.3	246242	246502	-	261	1411
b0227	NC_000913.3	246712	247461	+	750	129
b0228	NC_000913.3	247637	248134	+	498	240
b0231	NC_000913.3	250898	251953	+	1056	947
b0232	NC_000913.3	252005	252298	+	294	199
b0233	NC_000913.3	252301	252699	+	399	73
b0234	NC_000913.3	252709	253161	+	453	15
b0237	NC_000913.3	254259	255716	-	1458	7520
b0238	NC_000913.3	255977	256435	+	459	438
b0239	NC_000913.3	256527	257771	+	1245	2737
b0240	NC_000913.3;NC_000913.3	257829;258676	257899;259006	+;+	402	3513
b4710	NC_000913.3	257923	258426	-	504	0
b4709	NC_000913.3	258345	258620	-	276	0
b0241	NC_000913.3	259045	260100	-	1056	25
b0242	NC_000913.3	260388	261491	+	1104	1465
b0243	NC_000913.3	261503	262756	+	1254	2387
b0245	NC_000913.3	263328	263669	-	342	29
b0246	NC_000913.3	263690	264007	-	318	26
b4504	NC_000913.3	264026	264247	-	222	5
b0247	NC_000913.3	264256	264732	-	477	22
b0248	NC_000913.3	264748	265206	-	459	183
b0249	NC_000913.3	265304	265543	-	240	81
b0250	NC_000913.3	265620	266087	-	468	708
b0251	NC_000913.3	266110	266553	-	444	36
b0252	NC_000913.3	267184	268005	-	822	84
b0253	NC_000913.3	268097	268960	-	864	408
b0254	NC_000913.3	269289	270182	-	894	137
b4587	NC_000913.3;NC_000913.3	270278;271764	270540;272190	+;+	690	358
b0256	NC_000913.3	270603	271754	+	1152	222
b0258	NC_000913.3	272847	273992	+	1146	458
b0259	NC_000913.3	274101	275081	-	981	4
b0260	NC_000913.3	275325	276728	+	1404	463
b0261	NC_000913.3	276715	277647	+	933	1825
b0262	NC_000913.3	277756	278802	-	1047	95
b0264	NC_000913.3	279178	279681	-	504	3
b0265	NC_000913.3	279600	279875	-	276	19
b0266	NC_000913.3	280385	280735	-	351	168
b0267	NC_000913.3	280829	281983	-	1155	46
b0268	NC_000913.3	282278	283186	+	909	400
b0269	NC_000913.3	283201	285168	+	1968	1091
b0270	NC_000913.3	285395	286777	+	1383	235
b0271	NC_000913.3	286789	288399	+	1611	512
b0272	NC_000913.3	288404	289162	-	759	135
b0273	NC_000913.3	289301	290305	-	1005	217
b4766	NC_000913.3	290275	290370	-	96	0
b4688	NC_000913.3	290510	290638	+	129	92
b0274	NC_000913.3	290649	291152	-	504	8
b0275	NC_000913.3	291071	291346	-	276	1
b0276	NC_000913.3	291500	292231	+	732	337
b0277	NC_000913.3	292322	292948	-	627	65
b0278	NC_000913.3	293220	293918	-	699	4
b0279	NC_000913.3	293945	294799	-	855	8
b4729	NC_000913.3	294918	295142	-	225	16
b0280	NC_000913.3	295139	295579	-	441	234
b0281	NC_000913.3	295696	297096	-	1401	579
b0282	NC_000913.3	297381	297791	-	411	89
b0283	NC_000913.3	297770	298726	-	957	532
b0284	NC_000913.3	298736	300934	-	2199	1324
b0285	NC_000913.3	300931	301887	-	957	310
b0286	NC_000913.3	301884	302573	-	690	267
b0287	NC_000913.3	302991	303605	+	615	188
b0288	NC_000913.3	303853	304182	-	330	34
b0289	NC_000913.3	304495	305205	-	711	119
b0290	NC_000913.3	305174	306817	-	1644	387
b0291	NC_000913.3	306807	309332	-	2526	179
b0292	NC_000913.3	309358	310026	-	669	13
b0293	NC_000913.3	310084	310671	-	588	159
b0294	NC_000913.3	310746	311336	-	591	0
b0295	NC_000913.3	312112	312339	+	228	15
b4506	NC_000913.3	312374	312514	-	141	10
b0296	NC_000913.3	312514	312777	-	264	14
b4671	NC_000913.3	313141	313242	-	102	7
b0298	NC_000913.3	315291	315590	+	300	0
b0299	NC_000913.3	315587	316453	+	867	9
b0301	NC_000913.3	317726	318319	-	594	9
b0303	NC_000913.3	318331	318567	-	237	4
b0304	NC_000913.3	318676	320001	-	1326	233
b0305	NC_000913.3	320227	321081	+	855	19
b0306	NC_000913.3	321608	322327	+	720	70
b0307	NC_000913.3	322338	323765	+	1428	184
b0308	NC_000913.3	323758	324453	+	696	107
b0310	NC_000913.3	324696	325364	-	669	9
b0311	NC_000913.3	325577	327247	-	1671	996
b0312	NC_000913.3	327261	328733	-	1473	1622
b0313	NC_000913.3	328747	329334	-	588	737
b0314	NC_000913.3	329463	331496	+	2034	2174
b4730	NC_000913.3	331802	331876	+	75	0
b0315	NC_000913.3	332371	333459	+	1089	41
b0316	NC_000913.3	333501	334433	-	933	191
b0317	NC_000913.3	334525	335022	-	498	1
b0318	NC_000913.3	335280	335885	+	606	50
b0319	NC_000913.3	335925	336788	+	864	8
b0320	NC_000913.3	336778	338325	+	1548	48
b0321	NC_000913.3	338325	339743	+	1419	144
b0322	NC_000913.3	339769	340089	+	321	78
b0323	NC_000913.3	340165	341115	+	951	43
b0324	NC_000913.3	341125	342507	+	1383	516
b0325	NC_000913.3	342884	343933	+	1050	1994
b0326	NC_000913.3	344176	344991	+	816	4
b4845	NC_000913.3	345252	345434	+	183	0
b0327	NC_000913.3	345404	345649	+	246	0
b0328	NC_000913.3	345666	346337	-	672	108
b0329	NC_000913.3	346484	346759	+	276	8177
b0330	NC_000913.3	346857	348443	-	1587	367
b0331	NC_000913.3	348682	349572	+	891	12749
b0333	NC_000913.3	350012	351181	+	1170	18287
b0334	NC_000913.3	351215	352666	+	1452	45949
b0335	NC_000913.3	352706	354592	+	1887	69129
b0336	NC_000913.3	354922	356181	+	1260	204
b0337	NC_000913.3	356171	357454	+	1284	1008
b0338	NC_000913.3	357791	358690	-	900	133
b0339	NC_000913.3	358799	359458	+	660	524
b0340	NC_000913.3	359489	359959	+	471	277
b0341	NC_000913.3	359992	361146	+	1155	428
b0342	NC_000913.3	361249	361860	-	612	34
b0343	NC_000913.3	361926	363179	-	1254	25
b0344	NC_000913.3	363231	366305	-	3075	128
b0345	NC_000913.3	366428	367510	-	1083	599
b0346	NC_000913.3	367587	368420	-	834	895
b0347	NC_000913.3	368611	370275	+	1665	67
b0348	NC_000913.3	370277	371221	+	945	30
b0349	NC_000913.3	371239	372105	+	867	93
b0350	NC_000913.3	372115	372924	+	810	64
b0351	NC_000913.3	372921	373871	+	951	73
b0352	NC_000913.3	373868	374881	+	1014	151
b0353	NC_000913.3	375459	376670	+	1212	219
b0354	NC_000913.3	376772	377311	+	540	537
b0355	NC_000913.3	377535	378368	-	834	220
b0356	NC_000913.3	378462	379571	-	1110	1019
b0357	NC_000913.3	379606	379881	-	276	140
b0358	NC_000913.3	380069	380842	-	774	85
b4579	NC_000913.3;NC_000913.3	380844;382591	381260;382872	-;-	699	5
b0360	NC_000913.3	381351	381716	+	366	3
b0361	NC_000913.3	381674	382579	+	906	15
b0363	NC_000913.3	382739	383935	-	1197	18
b4731	NC_000913.3	383960	384079	+	120	0
b0364	NC_000913.3	384059	384616	-	558	1
b0365	NC_000913.3	385232	386194	+	963	13
b0366	NC_000913.3	386207	386974	+	768	19
b0367	NC_000913.3	386971	387798	+	828	25
b0368	NC_000913.3	387795	388646	+	852	101
b0369	NC_000913.3	388753	389727	-	975	2345
b4580	NC_000913.3;NC_000913.3	390251;392970	391708;394418	+;+	2907	252
b4767	NC_000913.3	391592	391648	-	57	0
b0372	NC_000913.3	391739	392605	-	867	7
b0373	NC_000913.3	392602	392901	-	300	6
b0375	NC_000913.3	394506	395129	+	624	3
b0376	NC_000913.3	395130	396287	-	1158	664
b0377	NC_000913.3	396639	397859	+	1221	642
b0378	NC_000913.3	397872	398966	+	1095	843
b0379	NC_000913.3	399025	399333	-	309	840
b0380	NC_000913.3	399593	399805	+	213	379
b0381	NC_000913.3	399829	400923	-	1095	1794
b0382	NC_000913.3	401386	401646	+	261	1210
b0383	NC_000913.3	401747	403162	+	1416	538
b0384	NC_000913.3	403281	403601	+	321	1761
b0385	NC_000913.3	403703	404818	+	1116	130
b0386	NC_000913.3	404835	405644	-	810	1289
b0387	NC_000913.3	405764	406222	+	459	1470
b0388	NC_000913.3	406405	406929	+	525	1863
b0389	NC_000913.3	406979	407170	+	192	1229
b0390	NC_000913.3	407428	408105	+	678	1194
b0391	NC_000913.3	408177	408461	+	285	2066
b4732	NC_000913.3	408947	409030	+	84	38
b0393	NC_000913.3	409108	410019	-	912	540
b0394	NC_000913.3	410144	411052	+	909	629
b0396	NC_000913.3	411297	412481	-	1185	542
b0397	NC_000913.3	412607	415753	-	3147	1012
b0398	NC_000913.3	415750	416952	-	1203	352
b0399	NC_000913.3	417142	417831	+	690	323
b0400	NC_000913.3	417889	419184	+	1296	395
b0401	NC_000913.3	419591	420910	+	1320	6762
b0402	NC_000913.3	420986	422359	+	1374	1351
b0403	NC_000913.3	422518	424332	+	1815	572
b0404	NC_000913.3	424337	424918	-	582	461
b0405	NC_000913.3	425011	426081	+	1071	517
b0406	NC_000913.3	426137	427264	+	1128	1839
b0407	NC_000913.3	427287	427619	+	333	2084
b0408	NC_000913.3	427647	429494	+	1848	4404
b0409	NC_000913.3	429505	430476	+	972	4436
b0410	NC_000913.3	430605	430952	+	348	445
b0411	NC_000913.3	431129	432013	-	885	1435
b0412	NC_000913.3	432312	432851	-	540	542
b0413	NC_000913.3	433002	433451	+	450	2205
b0414	NC_000913.3	433455	434558	+	1104	4358
b0415	NC_000913.3	434647	435117	+	471	2210
b0416	NC_000913.3	435137	435556	+	420	1707
b0417	NC_000913.3	435634	436611	+	978	855
b0418	NC_000913.3	436589	437107	+	519	2857
b0419	NC_000913.3	437161	438135	-	975	8058
b0420	NC_000913.3	438315	440177	-	1863	2852
b0421	NC_000913.3	440202	441101	-	900	1919
b0422	NC_000913.3	441101	441343	-	243	842
b0423	NC_000913.3	441549	442997	+	1449	1100
b0424	NC_000913.3	443051	443641	-	591	907
b0425	NC_000913.3	443604	444515	-	912	1533
b0426	NC_000913.3	444683	445174	+	492	4082
b0427	NC_000913.3	445302	446666	-	1365	407
b0428	NC_000913.3	446815	447705	-	891	12108
b0429	NC_000913.3	447717	448046	-	330	2644
b0430	NC_000913.3	448046	448660	-	615	3662
b0431	NC_000913.3	448650	450641	-	1992	11457
b0432	NC_000913.3	450663	451610	-	948	5185
b0433	NC_000913.3	452070	453545	-	1476	671
b0434	NC_000913.3	453589	454167	-	579	586
b0435	NC_000913.3	454472	454789	+	318	20011
b0436	NC_000913.3	455133	456431	+	1299	8925
b0437	NC_000913.3	456677	457300	+	624	12433
b0438	NC_000913.3	457426	458700	+	1275	27857
b0439	NC_000913.3	458888	461242	+	2355	12513
b0440	NC_000913.3	461451	461723	+	273	10123
b0441	NC_000913.3	461915	463786	+	1872	5939
b0442	NC_000913.3	463937	464308	+	372	254
b0443	NC_000913.3	464402	464800	+	399	362
b0444	NC_000913.3	464852	465547	-	696	638
b0445	NC_000913.3	465612	467312	-	1701	773
b0446	NC_000913.3	467412	468230	+	819	937
b0447	NC_000913.3	468383	468841	+	459	958
b0448	NC_000913.3	468871	470643	+	1773	1312
b0449	NC_000913.3	470636	472417	+	1782	1125
b0450	NC_000913.3	472598	472936	+	339	20
b0451	NC_000913.3	472966	474252	+	1287	287
b0452	NC_000913.3	474301	475161	-	861	990
b0453	NC_000913.3	475379	475951	+	573	4926
b0454	NC_000913.3	475982	476371	-	390	1062
b0456	NC_000913.3	476672	477025	+	354	85
b0457	NC_000913.3	477067	478617	-	1551	1272
b0458	NC_000913.3	478781	479251	-	471	1136
b0459	NC_000913.3	479367	479918	-	552	274
b0460	NC_000913.3	480090	480308	-	219	792
b0461	NC_000913.3	480334	480708	-	375	1240
b0462	NC_000913.3	481254	484403	-	3150	8312
b0463	NC_000913.3	484426	485619	-	1194	1514
b0464	NC_000913.3	485761	486408	+	648	630
b0465	NC_000913.3	486536	489898	+	3363	3112
b0466	NC_000913.3	490110	490271	-	162	157
b0467	NC_000913.3	490285	490812	-	528	348
b0468	NC_000913.3	490882	491259	+	378	658
b0469	NC_000913.3	491412	491963	+	552	520
b0470	NC_000913.3;NC_000913.3;NC_000913.3	492092;492092;493375	494023;493375;493386	+;+;+	1932	4043
b0471	NC_000913.3	494076	494405	+	330	1769
b0472	NC_000913.3	494405	495010	+	606	1689
b0473	NC_000913.3	495120	496994	+	1875	9845
b0474	NC_000913.3	497175	497819	+	645	2515
b0475	NC_000913.3	498055	499017	+	963	917
b0476	NC_000913.3	499014	499973	-	960	243
b0477	NC_000913.3	500125	501429	+	1305	1314
b0478	NC_000913.3	501562	503238	-	1677	4052
b0479	NC_000913.3	503476	504696	-	1221	513
b0480	NC_000913.3	504914	506566	+	1653	2388
b0481	NC_000913.3	506603	507082	-	480	328
b0482	NC_000913.3	507286	508080	-	795	549
b0483	NC_000913.3	508218	508559	+	342	720
b0484	NC_000913.3;NC_000913.3;NC_000913.3	508875;511168;511176	511379;511176;511379	-;-;-	2505	11223
b0485	NC_000913.3	511641	512573	+	933	4594
b0486	NC_000913.3	512576	513868	+	1293	19338
b0487	NC_000913.3	513993	514400	+	408	3709
b0488	NC_000913.3	514401	514859	-	459	1820
b0489	NC_000913.3	514856	515773	-	918	3747
b0490	NC_000913.3	515919	516596	+	678	322
b0491	NC_000913.3	516583	517362	+	780	310
b0492	NC_000913.3	517425	518279	-	855	2923
b0493	NC_000913.3	518340	519149	-	810	732
b0494	NC_000913.3	519139	519765	-	627	735
b0495	NC_000913.3	519733	520419	+	687	661
b0496	NC_000913.3	520416	522830	+	2415	1343
b0497	NC_000913.3	523261	527541	+	4281	510
b0498	NC_000913.3	527581	527949	+	369	3
b0502	NC_000913.3	529645	530016	-	372	135
b0503	NC_000913.3	530132	531226	-	1095	354
b0504	NC_000913.3	531295	532221	-	927	36
b0505	NC_000913.3	532451	532933	+	483	37
b0506	NC_000913.3	533011	533826	+	816	6707
b0507	NC_000913.3	533916	535697	+	1782	184
b0508	NC_000913.3	535710	536486	+	777	45
b0509	NC_000913.3	536586	537464	+	879	33
b0511	NC_000913.3	537633	539087	+	1455	11
b0512	NC_000913.3	539147	540508	+	1362	49
b0513	NC_000913.3	540565	541866	+	1302	97
b0514	NC_000913.3	541888	543033	+	1146	116
b0515	NC_000913.3	543261	544046	-	786	65
b0516	NC_000913.3	544057	545292	-	1236	50
b0517	NC_000913.3	545314	546363	-	1050	19
b0518	NC_000913.3	546680	548347	+	1668	26
b4572	NC_000913.3	548357	549616	+	1260	57
b0520	NC_000913.3	549627	550442	+	816	42
b0521	NC_000913.3	550439	551332	+	894	54
b0522	NC_000913.3	551527	552594	-	1068	628
b0523	NC_000913.3	552591	553100	-	510	174
b0524	NC_000913.3	553218	553940	-	723	324
b0525	NC_000913.3	553943	554437	-	495	3070
b0526	NC_000913.3	554611	555996	+	1386	1020
b0527	NC_000913.3	556032	556553	-	522	31
b0528	NC_000913.3	556661	556873	-	213	249
b0529	NC_000913.3	556875	557741	-	867	2576
b0530	NC_000913.3	558212	558754	+	543	33
b0531	NC_000913.3	558974	559666	+	693	2
b0532	NC_000913.3	559697	562300	+	2604	24
b0533	NC_000913.3	562336	563319	+	984	3
b0534	NC_000913.3	563330	563845	+	516	6
b0535	NC_000913.3	563848	564480	-	633	4
b0537	NC_000913.3	564815	565978	-	1164	611
b0542	NC_000913.3;NC_000913.3	566684;568035	566776;568247	+;+	306	15
b0540	NC_000913.3	566842	567141	+	300	2
b0541	NC_000913.3	567138	568004	+	867	1
b0543	NC_000913.3	568315	568647	+	333	57
b4733	NC_000913.3	568695	568844	+	150	0
b0544	NC_000913.3	568902	570428	+	1527	8
b0545	NC_000913.3	570893	571444	+	552	321
b0546	NC_000913.3	571454	572251	+	798	302
b4588	NC_000913.3	572368	572469	+	102	2
b0547	NC_000913.3	572466	572921	+	456	9
b0548	NC_000913.3	572921	573091	+	171	0
b0549	NC_000913.3	573084	573374	+	291	2
b0550	NC_000913.3	573371	573733	+	363	0
b4509	NC_000913.3	573730	573870	+	141	0
b0551	NC_000913.3	573956	574339	+	384	1
b0553	NC_000913.3;NC_000913.3	574529;575786	574586;576825	-;-	1098	2553
b0552	NC_000913.3	574737	575717	-	981	1
b0554	NC_000913.3	577398	577613	+	216	4
b0555	NC_000913.3	577613	578110	+	498	5
b0556	NC_000913.3	578107	578568	+	462	3
b4510	NC_000913.3	578327	578509	+	183	0
